phase,method,dataset,N,d,centers,std,noise_frac,seed,backend,n_splits,splitA_pos,splitA_size,chunksize,knn_eff,fit_time,ext_time,total_time,n_obs,ari,ami
baseline,sdoclust_full,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.8348147869110107,0.0,0.8348147869110107,-1,1.0,1.0
baseline,sdoclust_full,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.8356902599334717,0.0,0.8356902599334717,-1,1.0,1.0
baseline,sdoclust_full,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.8390979766845703,0.0,0.8390979766845703,-1,1.0,1.0
baseline,sdoclust_full,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.8397645950317383,0.0,0.8397645950317383,-1,1.0,1.0
baseline,sdoclust_full,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.8389062881469727,0.0,0.8389062881469727,-1,1.0,1.0
baseline,sdoclust_full,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.840559720993042,0.0,0.840559720993042,-1,1.0,1.0
baseline,sdoclust_full,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.8421201705932617,0.0,0.8421201705932617,-1,1.0,1.0
baseline,sdoclust_full,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.8423550128936768,0.0,0.8423550128936768,-1,1.0,1.0
baseline,kmeans_seq,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.031484127044677734,0.0,0.031484127044677734,-1,1.0,1.0
baseline,minibatch_seq,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.020140647888183594,0.0,0.020140647888183594,-1,1.0,1.0
baseline,kmeans_seq,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.031199932098388672,0.0,0.031199932098388672,-1,1.0,1.0
baseline,minibatch_joblib,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.9076268672943115,0.0,0.9076268672943115,-1,0.7203868260100619,0.8655286660050125
baseline,minibatch_seq,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.02019786834716797,0.0,0.02019786834716797,-1,1.0,1.0
baseline,minibatch_dask,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.0960550308227539,0.0,0.0960550308227539,-1,0.7203868260100619,0.8655286660050125
baseline,kmeans_seq,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.03148245811462402,0.0,0.03148245811462402,-1,1.0,1.0
baseline,minibatch_joblib,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.9148235321044922,0.0,0.9148235321044922,-1,0.7203868260100619,0.8655286660050125
baseline,kmeans_seq,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.03091263771057129,0.0,0.03091263771057129,-1,1.0,1.0
baseline,minibatch_dask,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.09267425537109375,0.0,0.09267425537109375,-1,0.7203868260100619,0.8655286660050125
baseline,minibatch_seq,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.0199587345123291,0.0,0.0199587345123291,-1,1.0,1.0
baseline,minibatch_seq,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.020229101181030273,0.0,0.020229101181030273,-1,1.0,1.0
baseline,kmeans_seq,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.031693220138549805,0.0,0.031693220138549805,-1,1.0,1.0
baseline,kmeans_seq,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.0314023494720459,0.0,0.0314023494720459,-1,1.0,1.0
baseline,minibatch_joblib,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.9233205318450928,0.0,0.9233205318450928,-1,0.7203868260100619,0.8655286660050125
baseline,minibatch_joblib,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.9152796268463135,0.0,0.9152796268463135,-1,0.7203868260100619,0.8655286660050125
baseline,kmeans_seq,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.03208422660827637,0.0,0.03208422660827637,-1,1.0,1.0
baseline,minibatch_seq,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.019948959350585938,0.0,0.019948959350585938,-1,1.0,1.0
baseline,minibatch_seq,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.02019476890563965,0.0,0.02019476890563965,-1,1.0,1.0
baseline,minibatch_dask,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.0966944694519043,0.0,0.0966944694519043,-1,0.7203868260100619,0.8655286660050125
baseline,kmeans_seq,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.031430721282958984,0.0,0.031430721282958984,-1,1.0,1.0
baseline,minibatch_joblib,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.9206607341766357,0.0,0.9206607341766357,-1,0.7203868260100619,0.8655286660050125
baseline,minibatch_dask,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.09543538093566895,0.0,0.09543538093566895,-1,0.7203868260100619,0.8655286660050125
baseline,minibatch_seq,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.01999640464782715,0.0,0.01999640464782715,-1,1.0,1.0
baseline,minibatch_joblib,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.9298849105834961,0.0,0.9298849105834961,-1,0.7203868260100619,0.8655286660050125
baseline,minibatch_seq,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.01962566375732422,0.0,0.01962566375732422,-1,1.0,1.0
baseline,minibatch_dask,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.09862065315246582,0.0,0.09862065315246582,-1,0.7203868260100619,0.8655286660050125
baseline,minibatch_joblib,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.9303743839263916,0.0,0.9303743839263916,-1,0.7203868260100619,0.8655286660050125
baseline,minibatch_dask,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.09476256370544434,0.0,0.09476256370544434,-1,0.7203868260100619,0.8655286660050125
baseline,minibatch_joblib,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.9406657218933105,0.0,0.9406657218933105,-1,0.7203868260100619,0.8655286660050125
baseline,minibatch_dask,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.09734559059143066,0.0,0.09734559059143066,-1,0.7203868260100619,0.8655286660050125
baseline,minibatch_dask,blobs,50000,10,5,1.0,0.0,42,na,-1,-1,-1,2000,-1,0.0968332290649414,0.0,0.0968332290649414,-1,0.7203868260100619,0.8655286660050125
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,2,0,25000,2000,5,0.28702569007873535,0.22985386848449707,0.5168795585632324,263,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,2,0,25000,2000,5,0.2845277786254883,0.22838521003723145,0.5129129886627197,263,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,2,0,25000,2000,5,0.28656840324401855,0.22901582717895508,0.5155842304229736,263,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,2,0,25000,2000,5,0.29056763648986816,0.23050475120544434,0.5210723876953125,263,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,2,0,25000,2000,5,0.28876328468322754,0.22988414764404297,0.5186474323272705,263,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,2,0,25000,2000,5,0.28606462478637695,0.22900104522705078,0.5150656700134277,263,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,2,0,25000,2000,5,0.28792643547058105,0.23085641860961914,0.5187828540802002,263,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,2,0,25000,2000,5,0.28562331199645996,0.22908401489257812,0.5147073268890381,263,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,4,0,12500,2000,5,0.14723610877990723,0.19913029670715332,0.34636640548706055,259,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,4,0,12500,2000,5,0.14700102806091309,0.1990957260131836,0.3460967540740967,259,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,4,0,12500,2000,5,0.1475684642791748,0.1999340057373047,0.3475024700164795,259,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,4,0,12500,2000,5,0.14863133430480957,0.20062708854675293,0.3492584228515625,259,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,4,0,12500,2000,5,0.1474006175994873,0.19916248321533203,0.34656310081481934,259,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,4,0,12500,2000,5,0.147568941116333,0.20132064819335938,0.3488895893096924,259,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,4,0,12500,2000,5,0.14879608154296875,0.20076942443847656,0.3495655059814453,259,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,4,0,12500,2000,5,0.14848637580871582,0.20070290565490723,0.34918928146362305,259,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,8,0,6250,2000,5,0.07455015182495117,0.20421051979064941,0.2787606716156006,255,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,8,0,6250,2000,5,0.0748136043548584,0.2046060562133789,0.2794196605682373,255,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,8,0,6250,2000,5,0.07478737831115723,0.2074720859527588,0.282259464263916,255,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,8,0,6250,2000,5,0.07525134086608887,0.20572590827941895,0.2809772491455078,255,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,8,0,6250,2000,5,0.07457232475280762,0.20548200607299805,0.28005433082580566,255,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,8,0,6250,2000,5,0.07500076293945312,0.2074902057647705,0.28249096870422363,255,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,8,0,6250,2000,5,0.07549619674682617,0.20637941360473633,0.2818756103515625,255,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,8,0,6250,2000,5,0.07480049133300781,0.20678496360778809,0.2815854549407959,255,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,16,0,3125,2000,5,0.04181075096130371,0.17838811874389648,0.2201988697052002,243,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,16,0,3125,2000,5,0.04079437255859375,0.17814850807189941,0.21894288063049316,243,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,16,0,3125,2000,5,0.04070091247558594,0.18223190307617188,0.2229328155517578,243,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,16,0,3125,2000,5,0.04042220115661621,0.18094515800476074,0.22136735916137695,243,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,16,0,3125,2000,5,0.04015541076660156,0.17986679077148438,0.22002220153808594,243,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,16,0,3125,2000,5,0.04020094871520996,0.1819472312927246,0.22214818000793457,243,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,16,0,3125,2000,5,0.041176557540893555,0.18169569969177246,0.22287225723266602,243,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,seq,16,0,3125,2000,5,0.04035639762878418,0.18166351318359375,0.22201991081237793,243,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,2,0,25000,2000,5,0.28061914443969727,0.23462891578674316,0.5152480602264404,263,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,2,0,25000,2000,5,0.28037142753601074,0.23477745056152344,0.5151488780975342,263,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,2,0,25000,2000,5,0.28214240074157715,0.23611760139465332,0.5182600021362305,263,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,2,0,25000,2000,5,0.2850375175476074,0.234572172164917,0.5196096897125244,263,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,2,0,25000,2000,5,0.2816953659057617,0.23421478271484375,0.5159101486206055,263,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,2,0,25000,2000,5,0.28211450576782227,0.2345714569091797,0.516685962677002,263,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,2,0,25000,2000,5,0.28313517570495605,0.2354426383972168,0.5185778141021729,263,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,2,0,25000,2000,5,0.2846860885620117,0.2347123622894287,0.5193984508514404,263,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,4,0,12500,2000,5,0.13983607292175293,0.19526219367980957,0.3350982666015625,259,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,4,0,12500,2000,5,0.14165806770324707,0.19503068923950195,0.336688756942749,259,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,4,0,12500,2000,5,0.142744779586792,0.19580364227294922,0.3385484218597412,259,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,4,0,12500,2000,5,0.14247608184814453,0.19494867324829102,0.33742475509643555,259,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,4,0,12500,2000,5,0.14203810691833496,0.1949450969696045,0.33698320388793945,259,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,4,0,12500,2000,5,0.14127659797668457,0.1948225498199463,0.33609914779663086,259,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,4,0,12500,2000,5,0.14165258407592773,0.1957552433013916,0.33740782737731934,259,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,4,0,12500,2000,5,0.1415872573852539,0.19638705253601074,0.33797430992126465,259,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,8,0,6250,2000,5,0.06915760040283203,0.1732027530670166,0.24236035346984863,255,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,8,0,6250,2000,5,0.06891536712646484,0.18086767196655273,0.24978303909301758,255,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,8,0,6250,2000,5,0.0696418285369873,0.17311334609985352,0.24275517463684082,255,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,8,0,6250,2000,5,0.06947588920593262,0.17265915870666504,0.24213504791259766,255,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,8,0,6250,2000,5,0.06960582733154297,0.17153120040893555,0.24113702774047852,255,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,8,0,6250,2000,5,0.06989574432373047,0.17307829856872559,0.24297404289245605,255,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,8,0,6250,2000,5,0.06963706016540527,0.1706547737121582,0.24029183387756348,255,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,8,0,6250,2000,5,0.07060909271240234,0.1811237335205078,0.25173282623291016,255,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,16,0,3125,2000,5,0.040158987045288086,0.15830302238464355,0.19846200942993164,243,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,16,0,3125,2000,5,0.04067230224609375,0.16549420356750488,0.20616650581359863,243,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,16,0,3125,2000,5,0.04084324836730957,0.16063356399536133,0.2014768123626709,243,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,16,0,3125,2000,5,0.040856361389160156,0.15877819061279297,0.19963455200195312,243,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,16,0,3125,2000,5,0.03998517990112305,0.15705037117004395,0.197035551071167,243,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,16,0,3125,2000,5,0.04080700874328613,0.1681194305419922,0.20892643928527832,243,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,16,0,3125,2000,5,0.04121255874633789,0.1569061279296875,0.1981186866760254,243,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,joblib,16,0,3125,2000,5,0.04085898399353027,0.16660070419311523,0.2074596881866455,243,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,2,0,25000,2000,5,0.2837080955505371,0.22569036483764648,0.5093984603881836,263,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,2,0,25000,2000,5,0.28209996223449707,0.2278766632080078,0.5099766254425049,263,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,2,0,25000,2000,5,0.284574031829834,0.2290637493133545,0.5136377811431885,263,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,2,0,25000,2000,5,0.2807905673980713,0.22615933418273926,0.5069499015808105,263,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,2,0,25000,2000,5,0.2797369956970215,0.22643661499023438,0.5061736106872559,263,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,2,0,25000,2000,5,0.28113532066345215,0.22540831565856934,0.5065436363220215,263,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,2,0,25000,2000,5,0.28185606002807617,0.22756528854370117,0.5094213485717773,263,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,2,0,25000,2000,5,0.28484272956848145,0.22686147689819336,0.5117042064666748,263,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,4,0,12500,2000,5,0.14053821563720703,0.17158865928649902,0.31212687492370605,259,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,4,0,12500,2000,5,0.13916230201721191,0.17281126976013184,0.31197357177734375,259,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,4,0,12500,2000,5,0.14158344268798828,0.1661994457244873,0.3077828884124756,259,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,4,0,12500,2000,5,0.14078521728515625,0.16949081420898438,0.3102760314941406,259,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,4,0,12500,2000,5,0.14042043685913086,0.16758942604064941,0.3080098628997803,259,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,4,0,12500,2000,5,0.14005231857299805,0.17564725875854492,0.31569957733154297,259,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,4,0,12500,2000,5,0.13993549346923828,0.1713087558746338,0.31124424934387207,259,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,4,0,12500,2000,5,0.14035344123840332,0.17082619667053223,0.31117963790893555,259,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,8,0,6250,2000,5,0.0699617862701416,0.17483186721801758,0.24479365348815918,255,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,8,0,6250,2000,5,0.07059788703918457,0.1722736358642578,0.24287152290344238,255,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,8,0,6250,2000,5,0.06957697868347168,0.17281723022460938,0.24239420890808105,255,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,8,0,6250,2000,5,0.06929612159729004,0.17537856101989746,0.2446746826171875,255,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,8,0,6250,2000,5,0.06868648529052734,0.17745494842529297,0.2461414337158203,255,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,8,0,6250,2000,5,0.06902694702148438,0.17274069786071777,0.24176764488220215,255,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,8,0,6250,2000,5,0.06961679458618164,0.1730194091796875,0.24263620376586914,255,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,8,0,6250,2000,5,0.06970548629760742,0.17148518562316895,0.24119067192077637,255,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,16,0,3125,2000,5,0.0406339168548584,0.152022123336792,0.1926560401916504,243,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,16,0,3125,2000,5,0.04050183296203613,0.15195298194885254,0.19245481491088867,243,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,16,0,3125,2000,5,0.0403745174407959,0.15532755851745605,0.19570207595825195,243,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,16,0,3125,2000,5,0.040300607681274414,0.15880250930786133,0.19910311698913574,243,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,16,0,3125,2000,5,0.040053606033325195,0.15625596046447754,0.19630956649780273,243,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,16,0,3125,2000,5,0.041033029556274414,0.15230345726013184,0.19333648681640625,243,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,16,0,3125,2000,5,0.04177594184875488,0.15369319915771484,0.19546914100646973,243,1.0,1.0
experiment,parallel_sdoclust,blobs,50000,10,5,1.0,0.0,42,dask,16,0,3125,2000,5,0.042276859283447266,0.1585557460784912,0.20083260536193848,243,1.0,1.0
baseline,sdoclust_full,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.8087475299835205,0.0,0.8087475299835205,-1,0.9999000020000001,0.9997462143632678
baseline,sdoclust_full,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.809851884841919,0.0,0.809851884841919,-1,0.9999000020000001,0.9997462143632678
baseline,sdoclust_full,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.8184049129486084,0.0,0.8184049129486084,-1,0.9999000020000001,0.9997462143632678
baseline,sdoclust_full,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.8209743499755859,0.0,0.8209743499755859,-1,0.9999000020000001,0.9997462143632678
baseline,sdoclust_full,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.8254694938659668,0.0,0.8254694938659668,-1,0.9999000020000001,0.9997462143632678
baseline,sdoclust_full,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.8150489330291748,0.0,0.8150489330291748,-1,0.9999000020000001,0.9997462143632678
baseline,sdoclust_full,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.8227508068084717,0.0,0.8227508068084717,-1,0.9999000020000001,0.9997462143632678
baseline,sdoclust_full,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.8185439109802246,0.0,0.8185439109802246,-1,0.9999000020000001,0.9997462143632678
baseline,kmeans_seq,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.02076101303100586,0.0,0.02076101303100586,-1,0.9994502085694134,0.9988499459813086
baseline,minibatch_seq,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.021390676498413086,0.0,0.021390676498413086,-1,0.9994002120735889,0.9987230537800077
baseline,minibatch_joblib,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.09866452217102051,0.0,0.09866452217102051,-1,0.7195597487365154,0.8650592694724638
baseline,kmeans_seq,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.021207094192504883,0.0,0.021207094192504883,-1,0.9994502085694134,0.9988499459813086
baseline,minibatch_dask,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.08696460723876953,0.0,0.08696460723876953,-1,0.7195597487365154,0.8650592694724638
baseline,minibatch_seq,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.020326852798461914,0.0,0.020326852798461914,-1,0.9994002120735889,0.9987230537800077
baseline,minibatch_joblib,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.1055598258972168,0.0,0.1055598258972168,-1,0.7195597487365154,0.8650592694724638
baseline,minibatch_dask,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.09024190902709961,0.0,0.09024190902709961,-1,0.7195597487365154,0.8650592694724638
baseline,kmeans_seq,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.020430803298950195,0.0,0.020430803298950195,-1,0.9994502085694134,0.9988499459813086
baseline,minibatch_seq,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.020487308502197266,0.0,0.020487308502197266,-1,0.9994002120735889,0.9987230537800077
baseline,minibatch_joblib,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.10480833053588867,0.0,0.10480833053588867,-1,0.7195597487365154,0.8650592694724638
baseline,minibatch_dask,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.0901334285736084,0.0,0.0901334285736084,-1,0.7195597487365154,0.8650592694724638
baseline,kmeans_seq,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.02140665054321289,0.0,0.02140665054321289,-1,0.9994502085694134,0.9988499459813086
baseline,minibatch_seq,blobs,50000,10,5,2.0,0.0,42,na,-1,-1,-1,2000,-1,0.02052903175354004,0.0,0.02052903175354004,-1,0.9994002120735889,0.9987230537800077
