phase,method,dataset,N,d,centers,std,noise_frac,seed,backend,n_splits,splitA_pos,splitA_size,chunksize,knn_eff,n_jobs,fit_time,ext_time,total_time,n_obs,ari,ami
baseline,sdoclust_full,blobs,50000,50,5,1,0,42,na,-1,-1,-1,2000,-1,-1,1.513086557,0,1.513086557,-1,1,1
baseline,kmeans_seq,blobs,50000,50,5,1,0,42,na,-1,-1,-1,2000,-1,-1,0.087166548,0,0.087166548,-1,1,1
baseline,kmeans_seq,blobs,50000,50,5,1,0,42,na,-1,-1,-1,2000,-1,-1,0.087267876,0,0.087267876,-1,1,1
baseline,kmeans_seq,blobs,50000,50,5,1,0,42,na,-1,-1,-1,2000,-1,-1,0.091157675,0,0.091157675,-1,1,1
baseline,kmeans_seq,blobs,50000,50,5,1,0,42,na,-1,-1,-1,2000,-1,-1,0.087875605,0,0.087875605,-1,1,1
baseline,minibatch_seq,blobs,50000,50,5,1,0,42,na,-1,-1,-1,2000,-1,-1,0.053859949,0,0.053859949,-1,1,1
baseline,minibatch_seq,blobs,50000,50,5,1,0,42,na,-1,-1,-1,2000,-1,-1,0.054073811,0,0.054073811,-1,1,1
baseline,minibatch_seq,blobs,50000,50,5,1,0,42,na,-1,-1,-1,2000,-1,-1,0.054650307,0,0.054650307,-1,1,1
baseline,minibatch_seq,blobs,50000,50,5,1,0,42,na,-1,-1,-1,2000,-1,-1,0.055518866,0,0.055518866,-1,1,1
baseline,minibatch_joblib,blobs,50000,50,5,1,0,42,na,-1,-1,-1,2000,-1,-1,1.014340639,0,1.014340639,-1,1,1
baseline,minibatch_joblib,blobs,50000,50,5,1,0,42,na,-1,-1,-1,2000,-1,-1,1.025709629,0,1.025709629,-1,1,1
baseline,minibatch_joblib,blobs,50000,50,5,1,0,42,na,-1,-1,-1,2000,-1,-1,1.01985836,0,1.01985836,-1,1,1
baseline,minibatch_joblib,blobs,50000,50,5,1,0,42,na,-1,-1,-1,2000,-1,-1,1.022792578,0,1.022792578,-1,1,1
baseline,minibatch_dask,blobs,50000,50,5,1,0,42,na,-1,-1,-1,2000,-1,-1,0.116470814,0,0.116470814,-1,1,1
baseline,minibatch_dask,blobs,50000,50,5,1,0,42,na,-1,-1,-1,2000,-1,-1,0.120219707,0,0.120219707,-1,1,1
baseline,minibatch_dask,blobs,50000,50,5,1,0,42,na,-1,-1,-1,2000,-1,-1,0.117655039,0,0.117655039,-1,1,1
baseline,minibatch_dask,blobs,50000,50,5,1,0,42,na,-1,-1,-1,2000,-1,-1,0.121911526,0,0.121911526,-1,1,1
baseline,daskml_kmeans,blobs,50000,50,5,1,0,42,na,-1,-1,-1,2000,-1,-1,1.252701998,0,1.252701998,-1,1,1
baseline,daskml_kmeans,blobs,50000,50,5,1,0,42,na,-1,-1,-1,2000,-1,-1,1.24028635,0,1.24028635,-1,1,1
baseline,daskml_kmeans,blobs,50000,50,5,1,0,42,na,-1,-1,-1,2000,-1,-1,1.239436626,0,1.239436626,-1,1,1
baseline,daskml_kmeans,blobs,50000,50,5,1,0,42,na,-1,-1,-1,2000,-1,-1,1.245313168,0,1.245313168,-1,1,1
experiment,parallel_sdoclust,blobs,50000,50,5,1,0,42,seq,2,0,25000,2000,5,-1,0.508411407,0.44936657,0.957777977,263,1,1
experiment,parallel_sdoclust,blobs,50000,50,5,1,0,42,seq,2,0,25000,2000,5,-1,0.508743286,0.450263739,0.959007025,263,1,1
experiment,parallel_sdoclust,blobs,50000,50,5,1,0,42,seq,2,0,25000,2000,5,-1,0.518542051,0.450512171,0.969054222,263,1,1
experiment,parallel_sdoclust,blobs,50000,50,5,1,0,42,seq,2,0,25000,2000,5,-1,0.520338774,0.449088812,0.969427586,263,1,1
experiment,parallel_sdoclust,blobs,50000,50,5,1,0,42,seq,4,0,12500,2000,5,-1,0.253326416,0.448753595,0.702080011,261,1,1
experiment,parallel_sdoclust,blobs,50000,50,5,1,0,42,seq,4,0,12500,2000,5,-1,0.248934746,0.448852062,0.697786808,261,1,1
experiment,parallel_sdoclust,blobs,50000,50,5,1,0,42,seq,4,0,12500,2000,5,-1,0.255892515,0.447811842,0.703704357,261,1,1
experiment,parallel_sdoclust,blobs,50000,50,5,1,0,42,seq,4,0,12500,2000,5,-1,0.253453016,0.448308706,0.701761723,261,1,1
